measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,Low SDI,Female,<1 year,Years,2008,62.98240142850372,63.35556823724275,62.61670619038538
Life expectancy,High-middle SDI,Male,<1 year,Years,1993,66.05362521965057,66.27039588266075,65.8171801895181
Life expectancy,High-middle SDI,Female,<1 year,Years,1993,73.07033176061167,73.26021376656362,72.89039556109506
Life expectancy,High SDI,Male,<1 year,Years,1993,73.10648561282885,73.13373993657878,73.07619788499959
Life expectancy,High SDI,Female,<1 year,Years,1993,79.7807324886565,79.80596087523938,79.75632855207499
Life expectancy,Low-middle SDI,Male,<1 year,Years,1993,59.468776044250966,59.8880779459221,59.04939921448842
Life expectancy,Low-middle SDI,Female,<1 year,Years,1993,62.41172212011854,62.80175968786622,62.008988782809716
Life expectancy,Low SDI,Male,<1 year,Years,1993,54.17606724506008,54.70947324479753,53.630614332590596
Life expectancy,Low SDI,Female,<1 year,Years,1993,55.885489114028864,56.43493561221928,55.35695842117113
Life expectancy,Middle SDI,Male,<1 year,Years,1995,66.80670274353247,67.08145224113134,66.51865363532822
Life expectancy,Middle SDI,Female,<1 year,Years,1995,71.67909970322704,71.9292403131183,71.44920742691166
Life expectancy,Middle SDI,Male,<1 year,Years,1994,66.63608527394099,66.9272462450403,66.33876531345526
Life expectancy,Middle SDI,Female,<1 year,Years,1994,71.31975555586419,71.57237785615105,71.07065492443614
Life expectancy,High-middle SDI,Male,<1 year,Years,2014,72.62645854022222,72.89298330543403,72.37007631257063
Life expectancy,High-middle SDI,Female,<1 year,Years,2014,78.72246132479644,78.94272437615982,78.49061359213502
Life expectancy,High SDI,Male,<1 year,Years,2014,78.40383590749043,78.44783842346695,78.36052787202709
Life expectancy,High SDI,Female,<1 year,Years,2014,83.59089686373026,83.62272097124641,83.55674279739081
Life expectancy,Low-middle SDI,Male,<1 year,Years,2014,65.11557184511399,65.63781900527052,64.57409395518725
Life expectancy,Low-middle SDI,Female,<1 year,Years,2014,69.14473261382261,69.65774650608114,68.62448802784148
Life expectancy,Low SDI,Male,<1 year,Years,2014,63.20277414091557,63.79067351071783,62.62706791330099
Life expectancy,Low SDI,Female,<1 year,Years,2014,66.13216824076885,66.61672714613076,65.67489952268782
Life expectancy,High-middle SDI,Male,<1 year,Years,2001,68.16521621820199,68.3502429919419,67.97707410339052
Life expectancy,High-middle SDI,Female,<1 year,Years,2001,75.17160750723772,75.32248810414495,75.01113132593305
